"status.variant","status.qualifier"
"MISSOURI","REGIONAL"
"MONTANA","REGIONAL"
"MW","REGIONAL"
"NASHVILLE","REGIONAL"
"NATIONAL","REGIONAL"
"NC","REGIONAL"
"NE","REGIONAL"
"NEBRASKA","REGIONAL"
"NEVADA","REGIONAL"
"NEW ENGLAND","REGIONAL"
"NEW HAMPSHIRE","REGIONAL"
"NEW JERSEY","REGIONAL"
"NEW MEXICO","REGIONAL"
"NEW YORK","REGIONAL"
"NEW YORK CITY","REGIONAL"
"NJ","REGIONAL"
"NORTH","REGIONAL"
"NORTH AMERICA","REGIONAL"
"NORTH CAROLINA","REGIONAL"
"NORTH DAKOTA","REGIONAL"
"NORTHERN","REGIONAL"
"NW","REGIONAL"
"NY","REGIONAL"
"NYC","REGIONAL"
"NZ","REGIONAL"
"OAKLAND","REGIONAL"
"OHIO","REGIONAL"
"OKLAHOMA","REGIONAL"
"OKLAHOMA CITY","REGIONAL"
"OMAHA","REGIONAL"
"OREGON","REGIONAL"
"PA","REGIONAL"
"PACIFIC NORTHWEST","REGIONAL"
"PACIFIC SOUTHWEST","REGIONAL"
"PENNSYLVANIA","REGIONAL"
"PHILADELPHIA","REGIONAL"
"PHOENIX","REGIONAL"
"PORTLAND","REGIONAL"
"RALEIGH","REGIONAL"
"REGION","REGIONAL"
"REGIONAL","REGIONAL"
"RHODE ISLAND","REGIONAL"
"ROCKY MOUNTAIN","REGIONAL"
"SACRAMENTO","REGIONAL"
"SAN ANTONIO","REGIONAL"
"SAN DIEGO","REGIONAL"
"SAN FRANCISCO","REGIONAL"
"SAN JOSE","REGIONAL"
"SC","REGIONAL"
"SE","REGIONAL"
"SEATTLE","REGIONAL"
"SOUTH","REGIONAL"
"SOUTH AMERICA","REGIONAL"
"SOUTH CAROLINA","REGIONAL"
"SOUTH CENTRAL","REGIONAL"
"SOUTH DAKOTA","REGIONAL"
"SOUTHERN","REGIONAL"
"SOUTHEAST","REGIONAL"
"SOUTHWEST","REGIONAL"
"ST LOUIS","REGIONAL"
"SUN","REGIONAL"
"SUN BELT","REGIONAL"
"SW","REGIONAL"
"TENNESSEE","REGIONAL"
"TENNESSEE VALLEY","REGIONAL"
"TEXAS","REGIONAL"
"TX","REGIONAL"
"TUCSON","REGIONAL"
"TULSA","REGIONAL"
"UK","REGIONAL"
"UTAH","REGIONAL"
"VERMONT","REGIONAL"
"VIRGINIA","REGIONAL"
"VIRGINIA BEACH","REGIONAL"
"WASHINGTON","REGIONAL"
"WASHINGTON","REGIONAL"
"WEST","REGIONAL"
"WEST VIRGINIA","REGIONAL"
"WESTERN","REGIONAL"
"WICHITA","REGIONAL"
"WISCONSIN","REGIONAL"
"WYOMING","REGIONAL"
"NORTHEAST","REGIONAL"
"NORTHWEST","REGIONAL"
"SCHED O","SCHED O"
"SCHED-O","SCHED O"
"SCHEDULE O","SCHED O"
"SCHEDULE-O","SCHED O"
"SEE","SCHED O"
