"title.standard","domain.category","domain.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","mem"
"EXECUTIVE ADMINISTRATION","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","","X","","","","","","","","",""
"GENERAL DIRECTOR","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","","X","","","","","","","","",""
"MANAGING DIRECTOR","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","","X","","","","","","","","",""
"ORGANIZATION DIRECTOR","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","","X","","","","","","","","",""
"CHIEF FINANCIAL OFFICER","operations","finance","Financial manager","11","11-3000","11-3030","11-3031","X","","X","","","","","","","","",""
"CFO","operations","finance","Financial manager","11","11-3000","11-3030","11-3031","X","","X","","","","","","","","",""
"CHAPLAIN","industry-specific","religious","Religious workers","21","21-2000","21-2090","21-2099","X","","","","","X","","","","","",""
"CHEF","xxx","xxx","","","","","","","","","","","","","","","","",""
"CHIEF","xxx","xxx","","","","","","","","","","","","","","","","",""
"CHIEF ACADEMICS OFFICER","industry-specific","higher education","","","","","","X","","X","","","","","","","","",""
"CHIEF ACCOUNTANT","operations","finance","Accountants and Auditors","13","13-2000","13-2010","13-2011","X","","","","X","","","","","","",""
"CHIEF ADMINISTRATION OFFICER","operations","administration","","","","","","X","","X","","","","","","","","",""
"CHIEF ADMINISTRATIVE OFFICER","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF ADVANCEMENT OFFICER","operations","fundraising and membership","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF ARCHITECT","industry-specific","engineering and architecture","Architects, except naval/ architectural manager (11-9041)","17","17-1000","17-1010","","X","","","","X","","","","","","",""
"CHIEF ARTISTIC OFFICER","industry-specific","arts and history","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF BUSINESS DEVELOPMENT OFFICER","operations","business development","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF CIVIC PROGRAMS OFFICER","operations","programs and events","Social and community service managers","11","11-9000","11-9050","11-9051","X","","X","","","","","","","","",""
"CHIEF CLERK","operations","administration","Financial clerk?","","","","","X","","","","X","","","","","","",""
"CHIEF CLINICAL OFFICER","industry-specific","medical","","","","","","X","","X","","","","","","","","",""
"CHIEF COLLECTIONS OFFICER","industry-specific","arts and history","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF CONTENT OFFICER","industry-specific","marketing-sales","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
"CHIEF CURATOR","industry-specific","arts and history","General and operations manager","11","11-1000","11-1020","11-1021","X","","X","","","","","","","","",""
