"title.standard","domain.category","domain.label","soc.label","major.group","minor.group","broad.group","detailed.occupation","emp","ceo","c.level","dir.vp","mgr","spec","board","pres","vp","sec","treas","mem"
"GUILD PRESIDENT","industry-specific","arts and history","","","","","","","","","","","","","","","","",""
"HEAD TEACHER","industry-specific","education","","","","","","X","","","","X","","","","","","",""
"HISTORIAN","industry-specific","arts and history","Miscellaneous social scientists and related workers","19","19-3000","19-3090","19-3093","X","","","","","X","","","","","",""
"HOSPITALITY","operations","administration","Miscellaneous Sales Representatives, Services","41","41-3000","41-3090","41-3091","X","","","","","X","","","","","",""
"HUMAN RESOURCES","operations","human resources","","","","","","X","","","","","X","","","","","",""
"IMAM","industry-specific","religious","Religious workers","21","21-2000","21-2090","21-2099","X","","","","","X","","","","","",""
"INCORPORATOR","board","board","","","","","","","","","","","","X","","","","",""
"INDUSTRY REPRESENTATIVE","operations","administration","","","","","","X","","","","","X","","","","","",""
"INFORMATION OFFICER","operations","technology","","","","","","X","","","","","X","","","","","",""
"INFORMATION TECHNOLOGY MANAGER","operations","technology","Computer and information system manager","11","11-3000","11-3020","11-3021","X","","","","X","","","","","","",""
"INSTRUCTOR","industry-specific","education","Educational instruction and library occupations","25","","","","X","","","","","X","","","","","",""
"INTERN","NA","NA","","","","","","","","","","","","","","","","",""
"INVESTMENT OFFICER","operations","finance","","","","","","X","","","","","X","","","","","",""
"JANITOR","operations","facilities","","","","","","X","","","","","X","","","","","",""
"JUDGE ADVOCATE","industry-specific","military","","","","","","X","","","","","X","","","","","",""
"JUNIOR","","","","","","","","","","","","","","","","","","",""
"JUNIOR DIRECTOR","operations","administration","","","","","","X","","","X","","","","","","","",""
"JUNIOR VICE COMMITTEE","board","board","","","","","","","","","","","","X","","","","",""
"JUNIOR VICE PRESIDENT","operations","administration","","","","","","X","","","X","","","","","","","",""
"LABOR RELATIONS COMMITTEE","board","board","","","","","","","","","","","","X","","","","",""
"LAWYER","operations","legal","","","","","","X","","","","","X","","","","","",""
"LECTURER","industry-specific","higher education","","","","","","X","","","","","X","","","","","",""
"LEGAL ADVISOR","operations","legal","Miscellaneous Legal Support Workers","23","23-2000","23-2090","23-2099","X","","","","","X","","","","","",""
"LEGISLATIVE","operations","legal","","","","","","X","","","","","X","","","","","",""
"LIAISON","operations","comms-pr","Public Relations Specialists","27","27-3000","27-3030","27-3031","X","","","","","X","","","","","",""
"LIBRARIAN","industry-specific","arts and history","Librarians and media collections specialists","25","25-4000","25-4020","25-4022","X","","","","","X","","","","","",""
"LIBRARY DIRECTOR","industry-specific","higher education","","","","","","X","","","X","","","","","","","",""
"LIEUTENANT","industry-specific","military","","","","","","X","","","","","","","","","","",""
"MAINTENANCE","operations","facilities","","","","","","X","","","","","X","","","","","",""
"MANAGER","operations","administration","","","","","","X","","","","X","","","","","","",""
"MANAGER OF OPERATIONS","operations","administration","","","","","","X","","","","X","","","","","","",""
"MARKETING","operations","marketing-sales","Market Research Analysts and Marketing Specialists","13","13-1000","13-1160","13-1161","X","","","","","X","","","","","",""
"MARSHAL","industry-specific","military","","","","","","X","","X","","","","","","","","",""
"MEDICAL DIRECTOR","industry-specific","medical","","","","","","X","","","X","","","","","","","",""
"MEDICAL EXAMINING BOARD","board","board","","","","","","","","","","","","X","","","","",""
"MEDICAL OFFICER","industry-specific","medical","","","","","","X","","","","X","","","","","","",""
"MEMBERSHIP","operations","fundraising and membership","Fundraisers","13","13-1000","13-1130","13-1131","X","","","","","X","","","","","",""
"MEMBERSHIP COORDINATOR","operations","fundraising and membership","","","","","","X","","","","","X","","","","","",""
"MILITARY","industry-specific","military","","","","","","X","","","","","X","","","","","",""
"MUSEUM DIRECTOR","industry-specific","arts and history","Chief Executives","11","11-1000","11-1010","11-1011","X","X","","","","","","","","","",""
"MUSIC DIRECTOR","industry-specific","arts and history","Musicians, singers, and related workers","27","27-2000","27-2040","27-2041","X","","","X","","","","","","","",""
"MUSICIAN","industry-specific","arts and history","Musicians, singers, and related workers","27","27-2000","27-2040","27-2041","X","","","","","X","","","","","",""
"NA","NA","missing","missing","","","","","","","","","","","","","","","",""
"NURSE","industry-specific","medical","","","","","","X","","","","","X","","","","","",""
"OFFICE ADMINISTRATOR","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","","X","","","","","","",""
"OFFICE MANAGER","operations","administration","","","","","","X","","","","X","","","","","","",""
"OFFICER MANAGER","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","","X","","","","","","",""
"OPERATIONS","operations","administration","","","","","","X","","","","","X","","","","","",""
"OPERATIONS MANAGER","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","","X","","","","","","",""
"ORGANIZER","operations","administration","","","","","","X","","","","X","","","","","","",""
"ORIENTAL GUIDE","","","","","","","","","","","","","","","","","","",""
"OUTGOING","NA","xxx","xxx","","","","","","","","","","","","","","","",""
"OUTREACH DIRECTOR","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"OUTREACH MANAGER","operations","programs and events","","","","","","X","","","","X","","","","","","",""
"PASTOR","industry-specific","religion","","","","","","X","X","","","","","","","","","",""
"PERSONNEL CHAIR","board","board","","","","","","","","","","","","X","","","","",""
"PHILANTHROPY","operations","fundraising and membership","Fundraisers","13","13-1000","13-1130","13-1131","X","","","","","X","","","","","",""
"POLITICAL DIRECTOR","","","","","","","","","X","","","","","","","","","",""
"POLITICIAN","","","","","","","","","","","","","","","","","","",""
"POST COMMANDER","industry-specific","military","","","","","","X","X","","","","","","","","","",""
"PRELATE","industry-specific","religion","","","","","","X","","","","","X","","","","","",""
"PRESIDENT","operations","administration","","","","","","X","X","","","","","","","","","",""
"PRESIDENT OF MEDICAL STAFF","industry-specific","medical","","","","","","X","X","","","","","","","","","",""
"PRESIDENT TREASURER","board","board","","","","","","","","","","","","X","","","","",""
"PRINCIPAL","xxx","xxx","","","","","","X","X","","","","","","","","","",""
"PRODUCER","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2012","X","","","","","X","","","","","",""
"PRODUCING DIRECTOR","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2012","X","","","X","","","","","","","",""
"PRODUCTION","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2012","X","","","","","X","","","","","",""
"PRODUCTION ASSISTANT","industry-specific","arts and history","","","","","","X","","","","","X","","","","","",""
"PRODUCTION MANAGER","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2012","X","","","","X","","","","","","",""
"PROFESSOR","industry-specific","higher education","","","","","","X","","","","","X","","","","","",""
"PROGRAMMING","operations","programs and events","","","","","","X","","","","","X","","","","","",""
"PROGRAMS","operations","programs and events","","","","","","X","","","","","X","","","","","",""
"PROGRAMS COORDINATOR","operations","programs and events","","","","","","X","","","","","X","","","","","",""
"PROGRAMS DIRECTOR","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"PROGRAMS MANAGER","operations","programs and events","","","","","","X","","","","X","","","","","","",""
"PROGRAMS OFFICER","operations","programs and events","","","","","","X","","","","","X","","","","","",""
"PROGRAMS VICE PRESIDENT","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"PROJECT MANAGER","operations","administration","","","","","","X","","","","X","","","","","","",""
"PROJECTS DIRECTOR","operations","administration","","","","","","X","","","X","","","","","","","",""
"PROVOST","industry-specific","higher education","Education and childcare administrators","11","11-9000","11-9030","11-9033","X","","X","","","","","","","","",""
"PUBLIC RELATIONS","operations","comms-pr","Public relations specialists","27","27-3000","27-3030","27-3031","X","","","","","X","","","","","",""
"PUBLIC RELATIONS ASSOCIATE","operations","comms-pr","Public relations specialists","27","27-3000","27-3030","27-3031","X","","","","","X","","","","","",""
"PUBLIC SAFETY","operations","facilities","","","","","","X","","","","","X","","","","","",""
"PUBLISHER","operations","writers and editors","Miscellaneous Media and Communication Workers","27","27-3000","27-3090","27-3099","X","","","","","X","","","","","",""
"RECRUITMENT","operations","human resources","","","","","","X","","","","","X","","","","","",""
"REGIONAL DIRECTOR","operations","administration","","","","","","X","","","X","","","","","","","",""
"REGIONAL MANAGER","operations","administration","","","","","","X","","","","X","","","","","","",""
"REGIONAL VICE PRESIDENT","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"REGISTRAR","industry-specific","higher education","Miscellaneous Educational Instruction and Library Workers","25","25-9000","25-9090","25-9099","X","","","","","X","","","","","",""
"REPRESENTATIVE","xxx","xxx","","","","","","","","","","","","X","","","","",""
"SCHOLARSHIPS","industry-specific","higher education","","","","","","X","","","","","X","","","","","",""
"SCOUT EXECUTIVE","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"SECRETARY","operations","administration","Secretaries and administrative assistants","43","43-6000","43-6010","","X","","","","","X","","","","","",""
"SECRETARY GENERAL","operations","administration","Chief executives","11","11-1000","11-1010","11-1011","X","","X","","","","","","","","",""
"SENIOR CURATOR","industry-specific","arts and history","Archivists, Curators, and Museum Technicians","25","25-4000","25-4010","25-4012","X","","","","","X","","","","","",""
"SENIOR DIRECTOR OF DEVELOPMENT","operations","fundraising and membership","","","","","","X","","","X","","","","","","","",""
"SENIOR DIRECTOR OF OPERATIONS","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"SENIOR DIRECTOR OF PROGRAMS","industry-specific","programs and events","","","","","","X","","","X","","","","","","","",""
"SENIOR DIRECTOR OF STRATEGY AND ENGAGEMENT","operations","business development","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"SENIOR EDITOR","operations","writers and editors","Writers and editors","27","27-3000","27-3040","27-3041","X","","","","","X","","","","","",""
"SENIOR EXECUTIVE VICE PRESIDENT","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"SENIOR INSTRUCTOR","industry-specific","education","Educational instruction and library occupations","25","","","","X","","","","","X","","","","","",""
"SENIOR PROGRAMS OFFICER","operations","programs and events","","","","","","X","","","","X","","","","","","",""
"SENIOR VICE PRESIDENT","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"SENIOR VICE PRESIDENT OF ADVANCEMENT","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"SENIOR VICE PRESIDENT OF BUSINESS DEVELOPMENT","operations","business development","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"SENIOR VICE PRESIDENT OF FINANCE","operations","finance","","","","","","X","","","X","","","","","","","",""
"SENIOR VICE PRESIDENT OF FINANCE AND ADMINISTRATION","operations","finance","financial manager","11","11-3000","11-3030","11-3031","X","","","X","","","","","","","",""
"SENIOR VICE PRESIDENT OF HOUSING OPERATIONS","operations","administration","","","","","","X","","","X","","","","","","","",""
"SENIOR VICE PRESIDENT OF OPERATIONS","operations","administration","","","","","","X","","","X","","","","","","","",""
"SENIOR VICE PRESIDENT OF PRODUCTION","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2012","X","","","X","","","","","","","",""
"SERGEANT AT ARM","board","board","","","","","","","","","","","","X","","","","",""
"SERGEANT AT ARMS","board","board","","","","","","","","","","","","X","","","","",""
"SOCIAL","industry-specific","social services","Counselors","21","21-1000","21-1010","","X","","","","","X","","","","","",""
"SOCIAL WORKER","industry-specific","social services","Counselors","21","21-1000","21-1010","","X","","","","","X","","","","","",""
"SPORTS","industry-specific","recreation and sports","Athletes, coaches, umpires, and related workers","27","27-2000","27-2020","27-2023","X","","","","","X","","","","","",""
"SPORTS DIRECTOR","industry-specific","recreation and sports","Athletes, coaches, umpires, and related workers","27","27-2000","27-2020","27-2023","X","","","X","","","","","","","",""
"STAFF","operations","administration","","","","","","X","","","","","X","","","","","",""
"STAFF REPRESENTATIVE","operations","administration","","","","","","","","","","","","X","","","","",""
"STATION MANAGER","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","","X","","","","","","",""
"STRATEGY","operations","business development","","","","","","X","","","","","X","","","","","",""
"STUDIO DIRECTOR","operations","facilities","","","","","","X","","","X","","","","","","","",""
"SUPERINTENDENT","operations","administration","","","","","","X","X","","","","","","","","","",""
"SUPERVISOR","operations","administration","","","","","","X","","","","X","","","","","","",""
"SUPERVISORY COMMITTEE","board","board","","","","","","","","","","","","X","","","","",""
"SURGEON","industry-specific","medical","Surgeons","29","29-1000","29-1240","","X","","","","","X","","","","","",""
"SURGEON GENERAL","industry-specific","medical","","","","","","X","","","X","","","","","","","",""
"TEACHER","industry-specific","education","Educational instruction and library occupations","25","","","","X","","","","","X","","","","","",""
"TEAM LEADER","operations","administration","","","","","","X","","","","X","","","","","","",""
"TECHNOLOGY","operations","technology","Computer Occupations","15","15-1200","","","X","","","","","X","","","","","",""
"THERAPIST","industry-specific","medical","","","","","","X","","","","","X","","","","","",""
"TRAINING","operations","human resources","","","","","","X","","","","","X","","","","","",""
"TRAINING DIRECTOR","operations","human resources","","","","","","X","","","X","","","","","","","",""
"TRAINING OFFICER","operations","human resources","","","","","","X","","","","","X","","","","","",""
"UNDERGRAD DIRECTOR","industry-specific","higher education","","","","","","X","","","X","","","","","","","",""
"UNION REPRESENTATIVE","operations","administration","","","","","","","","","","","","X","","","","",""
"VICE CEO","operations","administration","","","","","","X","X","","","","","","","","","",""
"VICE CHAIR","board","board","","","","","","","","","","","","X","","","","",""
"VICE COMMANDER","industry-specific","military","","","","","","X","","","","","","","","","","",""
"VICE PRESIDENT","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"VICE PRESIDENT AND CIO","","","","","","","","X","","","","","","","","","","",""
"VICE PRESIDENT OF ACADEMICS","industry-specific","higher education","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF ACADEMICS AFFAIRS","industry-specific","higher education","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF ACQUISITIONS AND PROJECTS","operations","business development","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF ADMINISTRATION","operations","administration","Administrative services and facilities managers","11","11-3000","11-3010","11-3012","X","","","X","","","","","","","",""
"VICE PRESIDENT OF ADVANCEMENT","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"VICE PRESIDENT OF ALUMNAE RELATIONS","industry-specific","higher education","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF BUSINESS DEVELOPMENT","operations","business development","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF BUSINESS OPERATIONS","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF COLLECTIONS","industry-specific","arts and history","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF COMMITTEE RELATIONS","operations","comms-pr","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF COMMUNICATIONS","operations","comms-pr","Advertising and Promotions Managers","11","11-2000","11-2010","11-2011","X","","","X","","","","","","","",""
"VICE PRESIDENT OF COMMUNICATIONS AND OPERATIONS","","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF COMMUNITY","","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF CORPORATE RECORDS","operations","comms-pr","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF CORRESPONDENCE","operations","comms-pr","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF DEVELOPMENT","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"VICE PRESIDENT OF ECONOMIC DEVELOPMENT","operations","business development","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF EDUCATION","industry-specific","education","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF EDUCATION AND GUEST EXPERIENCE","","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF EVENTS","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF EXHIBITS","industry-specific","arts and history","Designers","27","27-1000","27-1020","27-1027","X","","","X","","","","","","","",""
"VICE PRESIDENT OF EXTERNAL AFFAIRS","operations","comms-pr","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF FACILITIES","operations","facilities","Administrative services and facilities managers","11","11-3000","11-3010","11-3013","X","","","X","","","","","","","",""
"VICE PRESIDENT OF FINANCE","operations","finance","Financial managers","11","11-3000","11-3030","11-3031","X","","","X","","","","","","","",""
"VICE PRESIDENT OF FINANCE AND ADMINISTRATION","","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF FINANCE AND OPERATIONS","operations","finance","Financial managers","11","11-3000","11-3030","11-3031","X","","","X","","","","","","","",""
"VICE PRESIDENT OF FRATERNITY DEVELOPMENT","operations","fundraising and membership","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF FUNDRAISING","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"VICE PRESIDENT OF GOVERNMENT AFFAIRS","operations","comms-pr","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF HEALTH","industry-specific","medical","Medical and health services managers","11","11-9000","11-9110","11-9111","X","","","X","","","","","","","",""
"VICE PRESIDENT OF HEALTH CARE OPERATIONS","industry-specific","medical","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF HOSPITALITY","industry-specific","hospitality","Lodging managers","11","11-9000","11-9080","11-9081","X","","","X","","","","","","","",""
"VICE PRESIDENT OF HOUSING","operations","facilities","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF HOUSING OPERATIONS","industry-specific","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF HUMAN RESOURCES","operations","human resources","Human resources managers","11","11-3000","11-3120","11-3121","X","","","X","","","","","","","",""
"VICE PRESIDENT OF INFORMATION TECHNOLOGY","operations","technology","Computer and information system manager","11","11-3000","11-3020","11-3021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF INSTITUTIONAL ADVANCEMENT","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"VICE PRESIDENT OF LEGAL","operations","legal","legal occupations","23","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF LENDING","","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MARKETING","operations","marketing-sales","Marketing and sales managers","11","11-2000","11-2020","11-2021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MARKETING AND COMMUNICATIONS","","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MARKETING AND PUBLICITY","","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MEDICAL AFFAIRS","industry-specific","medical","Medical and health services managers","11","11-9000","11-9110","11-9111","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MEMBER DEVELOPMENT","operations","fundraising and membership","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MEMBER EDUCATION","operations","fundraising and membership","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MEMBER RECRUITMENT","operations","fundraising and membership","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MEMBERSHIP","operations","fundraising and membership","Public relations and fundraising managers","11","11-2000","11-2030","11-2033","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MEMBERSHIPS","operations","fundraising and membership","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MUSEUM EXPERIENCE","industry-specific","arts and history","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF MUSIC","industry-specific","arts and history","Musicians, singers, and related workers","27","27-2000","27-2040","27-2041","X","","","X","","","","","","","",""
"VICE PRESIDENT OF OPERATIONS","operations","administration","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF PHILANTHROPY","operations","fundraising and membership","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF PRODUCTION","industry-specific","arts and history","Actors, producers, and directors","27","27-2000","27-2010","27-2012","X","","","X","","","","","","","",""
"VICE PRESIDENT OF PROGRAMMING","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF PROGRAMS","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF PROJECTS","operations","programs and events","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF PUBLIC RELATIONS","operations","comms-pr","Public relations and fundraising managers","11","11-2000","11-2030","11-2032","X","","","X","","","","","","","",""
"VICE PRESIDENT OF PUBLICITY","operations","comms-pr","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF REAL ESTATE DEVELOPMENT","operations","business development","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF RESEARCH","operations","research and development","Life, physical, and social science and research occupations","19","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF RISK MANAGEMENT","operations","business development","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF SALES","operations","marketing-sales","Marketing and sales managers","11","11-2000","11-2020","11-2021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF SALES AND MARKETING","operations","marketing-sales","Marketing and sales managers","11","11-2000","11-2020","11-2021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF SOFTBALL","industry-specific","recreation and sports","Athletes, coaches, umpires, and related workers","27","27-2000","27-2020","27-2023","X","","","X","","","","","","","",""
"VICE PRESIDENT OF STANDARDS AND VALUES","","","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF STRATEGY","operations","business development","General and operations manager","11","11-1000","11-1020","11-1021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF TECHNOLOGY","operations","technology","Computer and information system manager","11","11-3000","11-3020","11-3021","X","","","X","","","","","","","",""
"VICE PRESIDENT OF UNIVERSITY ADVANCEMENT","industry-specific","higher education","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT OF VOLUNTEERS","operations","human resources","","","","","","X","","","X","","","","","","","",""
"VICE PRESIDENT SECRETARY","","","","","","","","X","","","X","","","","","","","",""
"VICE REGENT","operations","administration","","","","","","","","","","","","","","","","",""
"VOLUNTEER","operations","employee","","","","","","X","","","","","X","","","","","",""
"VOLUNTEER COORDINATOR","operations","human resources","Human Resources Specialists","13","13-1000","13-1070","13-1071","X","","","","","X","","","","","",""
"VOLUNTEER DIRECTOR","operations","human resources","","","","","","X","","","X","","","","","","","",""
"WARDEN","industry-specific","religion","","","","","","X","","","","","X","","","","","",""
"WEBMASTER","operations","technology","Web Developers","15","15-1200","15-1250","15-1254","X","","","","","X","","","","","",""
"WRITER","operations","writers and editors","Writers and editors","27","27-3000","27-3040","27-3041","X","","","","","X","","","","","",""
"YOUTH DIRECTOR","operations","programs and events","","","","","","X","","","X","","","","","","","",""
